"시설id","등록일시","수정일시","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","행정동 코드","행정동명","x좌표값","y좌표값","우편번호","기본주소","상세주소","운영시작일","연락처","사용료무료여부","운영일","휴관일","이용정원(기관)","이용정원(개인)","신청가능연령","자치구코드배열"
"YC260601","2026-06-12 15:49:26.0","2026-06-23 15:00:26.0","서울형 키즈카페 양천구 신월7동점","1011","서울형키즈카페","11470","양천구","3140051","신월7동","126.83561","37.51907","08042","서울특별시 양천구 지양로 37","해맞이역사도서관 1층 (신월동)","2026-06-23","02-2699-7992","N","화요일~일요일","월, 공휴일(어린이날 제외), 노동절","","","0세 ~ 6세","11470"
"GS260601","2026-06-08 11:45:21.0","2026-07-02 18:07:45.0","서울형키즈카페 등촌3동점","1011","서울형키즈카페","11500","강서구","3150046","등촌3동","126.8517","37.55719","07590","서울특별시 강서구 화곡로63길 19","경향교회 교육관 1층","2026-06-29","02-3661-9990","N","월,화,수,목,금,토","일요일, 법정공휴일","","","3세 ~ 6세","11500"
"EP260503","2026-05-15 13:49:22.0","2026-06-22 09:44:21.0","서울형 키즈카페 은평구 역촌동점(은평아이맘놀이터) 5~9세","1011","서울형키즈카페","11380","은평구","3110135","역촌동","126.9092","37.60308","03432","서울특별시 은평구 갈현로7가길 9","지하1층 (역촌동)","2026-06-13","02-388-0602","N","월요일, 수~일요일","화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)","","","5세 ~ 9세","11380"
"EP260502","2026-05-15 13:27:39.0","2026-06-22 09:45:22.0","서울형 키즈카페 은평구 역촌동점(은평아이맘놀이터) 3~6세","1011","서울형키즈카페","11380","은평구","3110135","역촌동","126.9092","37.60308","03432","서울특별시 은평구 갈현로7가길 9","3층 (역촌동)","2026-06-13","02-388-0602","N","월요일, 수~일요일","화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)","","","3세 ~ 6세","11380"
"EP260501","2026-05-11 14:21:10.0","2026-06-22 09:46:02.0","서울형 키즈카페 은평구 역촌동점(은평아이맘놀이터) 0~2세","1011","서울형키즈카페","11380","은평구","3110135","역촌동","126.9092","37.60308","03432","서울특별시 은평구 갈현로7가길 9","4층(역촌동)","2026-06-13","02-388-0602","N","수~월요일","화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)","","","0세 ~ 2세","11380"
"KC260501","2026-05-07 20:34:16.0","2026-07-02 11:21:20.0","서울형 키즈카페 금천구 시흥2동 노리뜰점","1011","서울형키즈카페","11545","금천구","3170050","시흥2동","126.91317","37.45044","08656","서울특별시 금천구 탑골로2길 56","주님앞에 제일교회 3층 (시흥동)","2026-06-15","070-8807-2441","N","월~토","일요일, 법정 공휴일(어린이날 제외), 근로자의 날","","","3세 ~ 8세","11545"
"YS260401","2026-04-28 16:55:51.0","2026-06-12 17:33:17.0","서울형 키즈카페 용산구 청파동점","1011","서울형키즈카페","11170","용산구","3020106","청파동","126.96537","37.54823","04306","서울특별시 용산구 효창원로86가길 28","2층 (청파동1가) ","2026-05-04","02-6272-1003","N","월~토요일","일요일, 어린이날을 제외한 공휴일, 근로자의 날","","","4세 ~ 8세","11170"
"DJ260401","2026-04-20 13:43:53.0","2026-05-19 16:12:15.0","서울형 키즈카페 동작구 노량진2동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190040","노량진2동","126.94224","37.50935","06925","서울특별시 동작구 장승배기로20길 46-3","1층 (송학대교회 교육관)","2026-04-30","070-7163-1481","N","월~토요일","일, 공휴일","","","0세 ~ 6세","11590"
"GS260401","2026-04-15 18:00:13.0","2026-05-25 10:59:40.0","서울형 키즈카페 시립 서울식물원점","1011","서울형키즈카페","11500","강서구","3150056","가양1동","126.83500661269902","37.57009909971907","07789","서울특별시 강서구 마곡동로 161","4층(서울식물원 식물문화센터)","2026-04-20","02-2658-7772","N","화 ~ 일 ","매주 월요일 (월요일이 공휴일 경우 정상운영하며, 연휴 끝난 다음날 대체 휴관을 합니다.)","","","4세 ~ 9세","11500"
"JR260301","2026-03-23 18:12:29.0","2026-06-18 09:53:42.0","서울형 키즈카페 중랑구 중화2동점(중랑실내놀이터 중랑역점)","1011","서울형키즈카페","11260","중랑구","3060050","중화2동","127.07492","37.59502","02110","서울특별시 중랑구 중랑역로3길 28","2층 (중화동)","2026-04-02","02-436-3681","Y","화요일 ~ 일요일","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","2세 ~ 6세","11260"
"SB260302","2026-03-18 10:27:16.0","2026-05-12 14:23:58.0","서울형 키즈카페 성북구 월곡1동점","1011","서울형키즈카페","11290","성북구","3070060","월곡1동","127.03796","37.60568","02750","서울특별시 성북구 오패산로10길 19","육아종합지원센터 2층 (하월곡동)","2026-03-25","02-2241-0758","N","월~토, 일(매달 마지막주)","일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","0세 ~ 4세","11290"
"NW260302","2026-03-12 11:17:59.0","2026-06-24 11:11:39.0","서울형 키즈카페 노원구 상계2동점","1011","서울형키즈카페","11350","노원구","3100055","상계2동","127.06739","37.66068","01685","서울특별시 노원구 상계로9나길 25","빛가온교회 드림센터 1층 (상계동)","2026-03-30","02-952-3446","N","월~토","일, 공휴일, 근로자의 날","","","0세 ~ 4세","11350"
"EP260302","2026-03-09 20:18:48.0","2026-06-21 15:11:53.0","서울형 키즈카페 은평구 갈곡리공원점(은평아이맘놀이터)","1011","서울형키즈카페","11380","은평구","3110042","갈현1동","126.91664","37.62392","03318","서울특별시 은평구 갈현로41길 3","지하1층, 지상1층 (갈현동 ,주차공간 없음)","2026-03-31","02-388-0752","N","화~일요일","월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)","","","4세 ~ 7세","11380"
"YC260201","2026-02-27 15:32:49.0","2026-06-16 11:42:21.0","서울형 키즈카페 양천구 목3동점","1011","서울형키즈카페","11470","양천구","3140041","목3동","126.86372","37.54827","07950","서울특별시 양천구 등촌로 208","목동깨비시장 공유센터 3층 (목동)","2026-03-02","02-2135-8378","N","화요일~일요일","월, 공휴일(어린이날 제외), 노동절","","","0세 ~ 6세","11470"
