번호,센터명,동,연락처,주소,기준일자,위도,경도
1,월계문화,월계1동,02-909-3273,"서울특별시 노원구 월계로42길 9, 2층(월계동, 월계문화복지센터)",2026-04-14,37.6242174,127.0505234
2,상계10단지,상계8동,070-4245-1172,"서울특별시 노원구 노원로 564, 1021동 104호(상계주공10단지)",2026-04-14,37.6616521,127.0561304
3,상계5간촌,상계5동,02-931-8437,"서울특별시 노원구 한글비석로49길 36, 1층(상계동)",2026-04-14,37.6621914,127.0663733
4,달빛마실,월계1동,02-943-0045,서울특별시 노원구 광운로13길 9(월계동),2026-04-14,37.6212832,127.058351
5,상계3단지,상계6.7동,02-930-8669,"서울특별시 노원구 동일로215길 48, 326동 112호(상계주공3단지)",2026-04-14,37.6517944,127.058246
6,공릉태강,공릉2동,02-948-9084,"서울특별시 노원구 공릉로34길 62, 1002동 101호(공릉태강아파트)",2026-04-14,37.6227367,127.0822873
7,하계극동,하계2동,02-3296-6412,"서울특별시 노원구 섬밭로 229, 3동 111호(하계극동아파트)",2026-04-14,37.6366179,127.0645392
8,월계그랑빌,월계3동,02-972-1252,"서울특별시 노원구 마들로 31, 115동104호(월계그랑빌아파트)",2026-04-14,37.6175992,127.0694724
9,상계7단지,상계10동,02-6227-0101,"서울특별시 노원구 상계로1길 92, 718동 1층 106호(상계주공7단지)",2026-04-14,37.6596882,127.0619784
10,공릉라이프,공릉1동,02-971-5650,"서울특별시 노원구 섬밭로 123, 관리동 2층(공릉라이프아파트)",2026-04-14,37.6443269,127.0630994
11,산마루,중계본동,02-3392-5481,"서울특별시 노원구 중계로12길 24, 중계금호(아) 103-103",2026-04-14,37.6468185,127.0818703
12,은빛1단지,상계1동,02-939-1918,"서울특별시 노원구 동일로245길 162, 109동 108호(은빛1단지)",2026-04-14,37.6805216,127.0521904
13,월계극동,월계2동,02-994-7177,"서울특별시 노원구 덕릉로60길 268, 102동 105호(월계극동아파트)",2026-04-14,37.6313117,127.0447025
14,상계15단지,상계8동,02-932-1510,"서울특별시 노원구 동일로227길 26, 1510동 107호(상계주공15단지)",2026-04-14,37.6681449,127.0544689
15,상계동아불암,상계3.4동,02-951-1102,"서울특별시 노원구 덕릉로 780, 102동 101호(상계동아불암아파트)",2026-04-14,37.666692,127.079126
16,상계다락,상계5동,02-935-1110,"서울특별시 노원구 한글비석로426-12, 3층(상계동)",2026-04-14,37.6623386,127.0698776
17,상계6단지,상계6.7동,02-939-8015,"서울특별시 노원구 노해로 508, 623동 101호(상계주공6단지)",2026-04-14,37.6547036,127.066191
18,상계1단지,상계6.7동,02-936-1101,"서울특별시 노원구 덕릉로 459-21, 111동 101호(상계주공1단지)",2026-04-14,37.6468272,127.0590566
19,중계무지개,중계2.3동,02-3296-5265,"서울특별시 노원구 동일로208길 19, 201동 104호(중계무지개아파트)",2026-04-14,37.6439131,127.0659472
20,상계두산융합형,상계1동,02-6956-9480,"서울특별시 노원구 동일로241길 53, 관리동 2층(상계두산아파트)",2026-04-14,37.6772517,127.053027
21,상계12단지,상계9동,02-3392-0010,"서울특별시 노원구 한글비석로 530, 1207동 106호(상계주공12단지)",2026-04-14,37.6655723,127.0595227
22,상계보람2단지,상계9동,02-934-0208,"서울특별시 노원구 한글비석로 480, 208동 102호(상계보람2단지)",2026-04-14,37.6661065,127.0694863
23,노원융합형,상계6.7동,02-939-1128,"서울특별시 덕릉로70길 100, 아이돌봄센터 2층(상계동)",2026-04-14,37.6421138,127.0606926
24,공릉비선,공릉2동,02-973-7373,"서울특별시 노원구 화랑로51길 78, 504동 105호",2026-04-14,37.6256407,127.0873279
25,하계어울림융합형,하계1동,02-979-7714,"서울특별시 노원구 공릉로62길 18, 3층(하계어울림센터)",2026-04-14,37.6365351,127.0721929
26,중계온마을,중계4동,02-933-0128,"서울특별시 노원구 한글비석로 371, 가동 1층(중계온마을센터)",2026-04-14,37.6651578,127.0622924
27,중계청구2차,중계1동,02-930-0110,"서울특별시 노원구 중계로 233, 101동 104호(중계청구3차)",2026-04-14,37.650505,127.073982
28,상계3.4동융합형,상계3.4동,02-931-3402,"서울특별시 노원구 덕릉로 748, 상계구민체육센터 2층",2026-04-14,37.6467285,127.0599143
29,공릉태릉우성,공릉2동,02-972-8255,"서울특별시 노원구 노원로 29, 공릉태릉우성 1동 105호 ",2026-04-14,37.6248709,127.0839946
